Created with UCDetector 1.10.0	2015-09-10 17:23:57	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
com.adaptavant.distributedsource.controller.GroupController.<init>(GroupController.java:31)	Class "GroupController" has 0 references	GroupController	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.<init>(DocumentController.java:23)	Change visibility of Class "DocumentController" to default - May cause compile errors!	DocumentController	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.controller.DocumentController.getDocumentsForOneContact(DocumentController.java:28)	Method "DocumentController.getDocumentsForOneContact(String,String,HttpServletRequest)" has 0 references	DocumentController.getDocumentsForOneContact(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.getDocumentsForContacts(DocumentController.java:40)	Method "DocumentController.getDocumentsForContacts(String,String,HttpServletRequest,*)" has 0 references	DocumentController.getDocumentsForContacts(String,String,HttpServletRequest,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.getDocumentsBasedOnIDs(DocumentController.java:78)	Method "DocumentController.getDocumentsBasedOnIDs(String,String,HttpServletRequest,*)" has 0 references	DocumentController.getDocumentsBasedOnIDs(String,String,HttpServletRequest,*)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.dissociateDocumentFromEntity(DocumentController.java:106)	Method "DocumentController.dissociateDocumentFromEntity(String,String,String,HttpServletRequest)" has 0 references	DocumentController.dissociateDocumentFromEntity(String,String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.associateDocumentToTask(DocumentController.java:118)	Method "DocumentController.associateDocumentToTask(String,String,HttpServletRequest)" has 0 references	DocumentController.associateDocumentToTask(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.uploadProfilePicture(DocumentController.java:130)	Method "DocumentController.uploadProfilePicture(String,String,HttpServletRequest)" has 0 references	DocumentController.uploadProfilePicture(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.uploadDocuments(DocumentController.java:142)	Method "DocumentController.uploadDocuments(String,String,HttpServletRequest)" has 0 references	DocumentController.uploadDocuments(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.uploadDocumentsForEntity(DocumentController.java:154)	Method "DocumentController.uploadDocumentsForEntity(String,String,HttpServletRequest)" has 0 references	DocumentController.uploadDocumentsForEntity(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.controller.DocumentController.deletePartiallyCreatedDocuments(DocumentController.java:166)	Method "DocumentController.deletePartiallyCreatedDocuments(String,String,HttpServletRequest)" has 0 references	DocumentController.deletePartiallyCreatedDocuments(String,String,HttpServletRequest)	org.ucdetector.analyzeMarkerReference	
